                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.47381,                0.41682,                0.96431,                0.88062,                 0.8738,                0.91255,                0.56793,                 1.4515,                0.69205,                 1.5237,               0.005248,               0.005248,               0.005248
                     51,                0.47827,                0.42095,                0.96461,                0.88489,                0.88196,                0.92161,                0.56481,                 1.4607,                0.68078,                 1.5214,               0.005149,               0.005149,               0.005149
                     52,                0.46846,                0.40896,                0.96145,                0.89617,                0.86601,                0.91282,                 0.5652,                 1.4651,                0.68357,                 1.5287,                0.00505,                0.00505,                0.00505
                     53,                0.46007,                0.40655,                0.95912,                0.89893,                0.87066,                0.92212,                0.57203,                 1.4498,                0.70821,                 1.5235,               0.004951,               0.004951,               0.004951
                     54,                0.46256,                0.39947,                0.95574,                0.88917,                0.87932,                0.91906,                0.57025,                 1.4481,                0.68441,                 1.5056,               0.004852,               0.004852,               0.004852
                     55,                0.46293,                0.40625,                0.95879,                0.90726,                0.86951,                0.92789,                 0.5713,                  1.464,                0.66669,                 1.5243,               0.004753,               0.004753,               0.004753
                     56,                0.45756,                0.39449,                0.95448,                 0.9011,                0.88672,                0.92289,                0.56753,                 1.4648,                 0.6773,                 1.5298,               0.004654,               0.004654,               0.004654
                     57,                0.45728,                0.39821,                 0.9555,                 0.9141,                0.88035,                 0.9319,                0.57625,                 1.4634,                0.67219,                 1.5224,               0.004555,               0.004555,               0.004555
                     58,                0.45433,                0.38992,                0.95568,                0.89343,                0.87209,                0.92213,                0.57411,                 1.4622,                0.68524,                  1.522,               0.004456,               0.004456,               0.004456
                     59,                0.45164,                0.38716,                0.95281,                0.89817,                 0.8632,                0.91875,                0.57236,                 1.4533,                0.68554,                 1.5342,               0.004357,               0.004357,               0.004357
                     60,                0.44318,                0.38298,                0.95153,                0.89746,                0.87216,                0.92078,                0.57048,                 1.4699,                0.69875,                 1.5375,               0.004258,               0.004258,               0.004258
                     61,                0.45112,                0.38131,                0.94952,                0.90671,                0.86698,                0.92661,                0.57159,                 1.4622,                0.67969,                 1.5277,               0.004159,               0.004159,               0.004159
                     62,                0.44011,                 0.3801,                0.94793,                0.90111,                 0.8712,                0.92327,                  0.575,                 1.4685,                0.66839,                 1.5351,                0.00406,                0.00406,                0.00406
                     63,                0.43679,                0.37598,                0.94596,                0.89435,                0.88143,                0.92317,                0.56956,                 1.4692,                0.68723,                 1.5372,               0.003961,               0.003961,               0.003961
                     64,                0.43547,                0.36997,                0.94316,                0.90772,                0.87972,                0.91893,                0.57278,                 1.4614,                0.67537,                 1.5374,               0.003862,               0.003862,               0.003862
                     65,                0.43323,                 0.3659,                0.94238,                 0.9102,                0.86076,                0.91889,                0.57211,                 1.4583,                0.68185,                 1.5458,               0.003763,               0.003763,               0.003763
                     66,                0.42987,                0.36746,                0.94284,                0.89948,                0.86829,                 0.9191,                0.57339,                 1.4624,                0.67828,                 1.5567,               0.003664,               0.003664,               0.003664
                     67,                0.43155,                0.36714,                0.94229,                0.90884,                0.87155,                0.92278,                0.57344,                 1.4732,                0.66839,                 1.5585,               0.003565,               0.003565,               0.003565
                     68,                0.42222,                0.35509,                0.93972,                0.90889,                0.87412,                 0.9209,                0.56924,                 1.4705,                0.66572,                 1.5574,               0.003466,               0.003466,               0.003466
                     69,                0.41819,                0.35711,                 0.9381,                0.89819,                0.88156,                0.91999,                0.57116,                 1.4754,                 0.6653,                  1.562,               0.003367,               0.003367,               0.003367
                     70,                 0.4173,                0.35091,                0.93631,                0.89227,                 0.8834,                0.91939,                0.56922,                 1.4788,                0.67457,                 1.5549,               0.003268,               0.003268,               0.003268
                     71,                0.41733,                0.35684,                0.93531,                0.89458,                0.88266,                0.92583,                0.57053,                 1.4808,                0.68297,                 1.5499,               0.003169,               0.003169,               0.003169
                     72,                0.41184,                0.35055,                0.93418,                0.89971,                0.87976,                0.92645,                 0.5714,                 1.4787,                0.68741,                 1.5514,                0.00307,                0.00307,                0.00307
                     73,                0.41277,                0.34273,                0.93369,                0.89499,                0.89534,                 0.9263,                 0.5718,                 1.4801,                0.68418,                 1.5569,               0.002971,               0.002971,               0.002971
                     74,                0.41216,                0.34785,                0.93612,                0.88736,                0.88846,                0.92632,                0.57055,                 1.4741,                 0.6885,                 1.5506,               0.002872,               0.002872,               0.002872
                     75,                0.40742,                0.34132,                0.93444,                0.88183,                0.89444,                0.92542,                0.57005,                 1.4692,                0.69543,                 1.5446,               0.002773,               0.002773,               0.002773
                     76,                0.40627,                0.33748,                0.92937,                0.88674,                0.88622,                0.92188,                0.57216,                 1.4652,                0.68955,                 1.5448,               0.002674,               0.002674,               0.002674
                     77,                0.39651,                0.33405,                0.92847,                0.89778,                0.89878,                0.92208,                0.57261,                 1.4731,                 0.6885,                 1.5541,               0.002575,               0.002575,               0.002575
                     78,                 0.3974,                0.33274,                  0.929,                0.89263,                 0.8917,                0.92231,                0.57264,                 1.4774,                0.68483,                 1.5622,               0.002476,               0.002476,               0.002476
                     79,                0.39591,                 0.3292,                0.92657,                0.88593,                0.89172,                0.92088,                0.56964,                 1.4809,                 0.6883,                 1.5719,               0.002377,               0.002377,               0.002377
                     80,                0.38903,                0.32705,                 0.9247,                0.87698,                 0.9023,                0.92508,                0.57145,                 1.4815,                0.68443,                 1.5712,               0.002278,               0.002278,               0.002278
                     81,                0.38808,                0.31941,                0.92569,                0.88701,                0.88533,                0.92166,                 0.5717,                 1.4767,                0.68278,                 1.5693,               0.002179,               0.002179,               0.002179
                     82,                0.38761,                0.32329,                0.92246,                0.89431,                0.87835,                0.92335,                0.57487,                 1.4762,                0.67641,                  1.571,                0.00208,                0.00208,                0.00208
                     83,                 0.3864,                0.31842,                0.92517,                0.89843,                0.88087,                0.92482,                0.57603,                 1.4735,                0.67236,                 1.5683,               0.001981,               0.001981,               0.001981
                     84,                0.38192,                 0.3182,                 0.9243,                0.89855,                0.88352,                  0.925,                0.57478,                 1.4745,                  0.666,                 1.5718,               0.001882,               0.001882,               0.001882
                     85,                0.37218,                0.30973,                0.92029,                0.90008,                0.88782,                0.93056,                0.57752,                 1.4739,                0.66077,                 1.5705,               0.001783,               0.001783,               0.001783
                     86,                0.37793,                0.30991,                  0.918,                0.89761,                0.88591,                0.92782,                0.57847,                  1.474,                  0.658,                   1.57,               0.001684,               0.001684,               0.001684
                     87,                0.37421,                0.31112,                0.91799,                0.89725,                0.88821,                 0.9297,                0.57795,                 1.4749,                 0.6598,                 1.5728,               0.001585,               0.001585,               0.001585
                     88,                0.37153,                0.30437,                0.91643,                0.89475,                0.88778,                 0.9298,                0.57797,                 1.4756,                0.66021,                 1.5737,               0.001486,               0.001486,               0.001486
                     89,                0.36925,                0.30412,                0.91948,                0.89703,                 0.8863,                0.92948,                0.57701,                 1.4779,                0.66107,                 1.5781,               0.001387,               0.001387,               0.001387
                     90,                0.36463,                 0.2976,                0.91351,                0.89566,                0.88317,                0.92754,                0.57757,                 1.4801,                0.66353,                 1.5821,               0.001288,               0.001288,               0.001288
                     91,                0.35314,                0.21182,                0.88522,                0.89058,                0.88628,                0.92718,                0.57676,                  1.482,                0.66684,                 1.5865,               0.001189,               0.001189,               0.001189
                     92,                0.33581,                0.19624,                0.87536,                0.89316,                0.88665,                 0.9276,                0.57655,                 1.4826,                0.66882,                 1.5896,                0.00109,                0.00109,                0.00109
                     93,                0.33383,                0.19391,                 0.8772,                 0.8942,                0.88106,                0.92573,                0.57563,                 1.4817,                0.66972,                 1.5897,               0.000991,               0.000991,               0.000991
                     94,                0.32727,                0.19112,                0.87137,                0.89503,                0.88011,                0.92477,                0.57606,                 1.4837,                0.67194,                  1.593,               0.000892,               0.000892,               0.000892
                     95,                0.32456,                 0.1885,                0.87033,                0.88943,                0.88085,                0.92371,                0.57589,                 1.4874,                0.67829,                 1.5986,               0.000793,               0.000793,               0.000793
                     96,                0.31738,                0.18509,                0.86678,                0.88954,                0.88218,                0.92449,                0.57679,                 1.4896,                0.68152,                 1.6029,               0.000694,               0.000694,               0.000694
                     97,                0.31342,                0.17973,                0.86655,                0.89214,                0.88105,                0.92222,                0.57701,                 1.4899,                0.68301,                 1.6052,               0.000595,               0.000595,               0.000595
                     98,                0.30725,                0.17899,                0.86446,                0.89591,                0.87816,                0.92208,                0.57717,                 1.4881,                0.68277,                  1.606,               0.000496,               0.000496,               0.000496
                     99,                0.30775,                0.17387,                0.86123,                0.88609,                0.88199,                0.92218,                0.57689,                 1.4874,                0.68458,                 1.6077,               0.000397,               0.000397,               0.000397
                    100,                0.30581,                0.17179,                 0.8592,                0.89491,                0.87342,                 0.9214,                0.57739,                 1.4885,                0.68638,                 1.6097,               0.000298,               0.000298,               0.000298
